tDays,Energy,Count,EnergyPerCountFiltered,Temp,X,Y,Z,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29
46.5282986111,250297.0,19119.0,13.0915319839,700.0,271.0,65249.0,64644.0,615.0,1281.0,834.0,2763.0,4533.0,6706.0,1936.0,425.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5303819444,250862.0,19121.0,13.1197113122,694.0,272.0,65248.0,64643.0,586.0,1238.0,766.0,2721.0,4495.0,7016.0,1905.0,366.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5324652778,251063.0,19118.0,13.1322837117,698.0,272.0,65248.0,64647.0,580.0,1219.0,788.0,2783.0,4512.0,6873.0,1954.0,384.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5345486111,247062.0,19116.0,12.9243565599,698.0,273.0,65248.0,64644.0,648.0,1344.0,813.0,2757.0,4257.0,7010.0,1916.0,347.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5366319444,251437.0,19108.0,13.158729328,698.0,271.0,65251.0,64644.0,566.0,1331.0,769.0,2746.0,4154.0,7190.0,1975.0,348.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5387152778,255599.0,19114.0,13.3723448781,697.0,272.0,65249.0,64646.0,597.0,1161.0,801.0,2725.0,4336.0,7077.0,2000.0,381.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5407986111,255833.0,19113.0,13.3852875007,695.0,272.0,65251.0,64644.0,677.0,1213.0,734.0,2764.0,3950.0,7390.0,1963.0,392.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5428819444,254325.0,19114.0,13.3056921628,698.0,273.0,65248.0,64646.0,619.0,1269.0,804.0,2682.0,4098.0,7268.0,1988.0,350.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5449652778,255049.0,19113.0,13.3442682991,698.0,272.0,65249.0,64643.0,582.0,1263.0,733.0,2682.0,3951.0,7564.0,1974.0,335.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46.5470486111,254598.0,19118.0,13.3171879904,698.0,272.0,65248.0,64646.0,637.0,1278.0,714.0,2651.0,4089.0,7378.0,1989.0,354.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
